ID,Name,Price,URL
,Abominable Hoodie,$69.00,https://www.scrapingcourse.com/ecommerce/product/abominable-hoodie/
,Adrienne Trek Jacket,$57.00,https://www.scrapingcourse.com/ecommerce/product/adrienne-trek-jacket/
,Aeon Capri,$48.00,https://www.scrapingcourse.com/ecommerce/product/aeon-capri/
,Aero Daily Fitness Tee,$24.00,https://www.scrapingcourse.com/ecommerce/product/aero-daily-fitness-tee/
,Aether Gym Pant,$74.00,https://www.scrapingcourse.com/ecommerce/product/aether-gym-pant/
,Affirm Water Bottle,$7.00,https://www.scrapingcourse.com/ecommerce/product/affirm-water-bottle/
,Aim Analog Watch,$45.00,https://www.scrapingcourse.com/ecommerce/product/aim-analog-watch/
,Ajax Full-Zip Sweatshirt,$69.00,https://www.scrapingcourse.com/ecommerce/product/ajax-full-zip-sweatshirt/
,Ana Running Short,$40.00,https://www.scrapingcourse.com/ecommerce/product/ana-running-short/
,Angel Light Running Short,$42.00,https://www.scrapingcourse.com/ecommerce/product/angel-light-running-short/
,Antonia Racer Tank,$34.00,https://www.scrapingcourse.com/ecommerce/product/antonia-racer-tank/
,Apollo Running Short,$32.50,https://www.scrapingcourse.com/ecommerce/product/apollo-running-short/
,Arcadio Gym Short,$20.00,https://www.scrapingcourse.com/ecommerce/product/arcadio-gym-short/
,Argus All-Weather Tank,$22.00,https://www.scrapingcourse.com/ecommerce/product/argus-all-weather-tank/
,Ariel Roll Sleeve Sweatshirt,$39.00,https://www.scrapingcourse.com/ecommerce/product/ariel-roll-sleeve-sweatshirt/
,Artemis Running Short,$45.00,https://www.scrapingcourse.com/ecommerce/product/artemis-running-short/
,Atlas Fitness Tank,$18.00,https://www.scrapingcourse.com/ecommerce/product/atlas-fitness-tank/
,Atomic Endurance Running Tee (Crew-Neck),$29.00,https://www.scrapingcourse.com/ecommerce/product/atomic-endurance-running-tee-crew-neck/
,Atomic Endurance Running Tee (V-neck),$28.00,https://www.scrapingcourse.com/ecommerce/product/atomic-endurance-running-tee-v-neck/
,Augusta Pullover Jacket,$57.00,https://www.scrapingcourse.com/ecommerce/product/augusta-pullover-jacket/
,Autumn Pullie,$57.00,https://www.scrapingcourse.com/ecommerce/product/autumn-pullie/
,Balboa Persistence Tee,$29.00,https://www.scrapingcourse.com/ecommerce/product/balboa-persistence-tee/
,Bardot Capri,$48.00,https://www.scrapingcourse.com/ecommerce/product/bardot-capri/
,Beaumont Summit Kit,$42.00,https://www.scrapingcourse.com/ecommerce/product/beaumont-summit-kit/
,Bella Tank,$29.00,https://www.scrapingcourse.com/ecommerce/product/bella-tank/
,Bess Yoga Short,$28.00,https://www.scrapingcourse.com/ecommerce/product/bess-yoga-short/
,Bolo Sport Watch,$49.00,https://www.scrapingcourse.com/ecommerce/product/bolo-sport-watch/
,Breathe-Easy Tank,$34.00,https://www.scrapingcourse.com/ecommerce/product/breathe-easy-tank/
,Bruno Compete Hoodie,$63.00,https://www.scrapingcourse.com/ecommerce/product/bruno-compete-hoodie/
,Caesar Warm-Up Pant,$35.00,https://www.scrapingcourse.com/ecommerce/product/caesar-warm-up-pant/
,Carina Basic Capri,$51.00,https://www.scrapingcourse.com/ecommerce/product/carina-basic-capri/
,Cassia Funnel Sweatshirt,$48.00,https://www.scrapingcourse.com/ecommerce/product/cassia-funnel-sweatshirt/
